Name,Age,Time
Belaynesh YIGEZU,29,9578000.0016
Agnes CHEBET,21,9609000.0012
Gelane SENBETE,27,9790999.9992
Hellen KIMUTAI,39,10103000.0004
Sladana PERUNOVIC,33,10159999.9992
Nikolina SUSTIC,30,10224000
Radosveta SIMEONOVA,24,10589000.0004
Nursel KARATAS,29,10690999.9992
Anita KRASTEVA,37,10829999.9988
Hristina KOZARAVA,33,11214000
Nadejda ANGELOVA,29,11595999.9996
Margherita FRATERNALI,50,12526999.9992
Zornitza HRISTOVA,36,12556000.0008
Malinka VACKICHEVA,53,12711999.9996
Katerina DOKUZOVA,23,13246999.9992
Alena ASKIRKINA,27,13520999.9988
Dafinka TODOROVA,38,13654000.0008
Virginia GABROVSKA,37,13660999.9992
Paolina MINEVA,38,13979000.0016
Borislava VIDEVA,36,14148000
Stefka STOYANOVA,52,14232999.9996
Yordanka KOSTOVA,25,14280000.0012
Sunny CALITZ-PATEL,50,14312999.9988
Mariya ANGELOVA,37,14406000.0012
Erika STIRMANN,56,14550000.0012
Ivelina KALCHEVA,45,14793000.0012
Viktoriya SAKSANOVA,32,15495000.0012
Maya TANEVA,42,15513000.0012
Andrea HERTINGER,55,15554000.0016
Oksana BOCHKOVAR,43,15905000.0016
Vera MITOVA,53,16032999.9996
Maya IVANOVA,30,16067000.0016
Ulla MAYFIELD,60,16080999.9984
Denitsa KOEVA,37,16085000.0016
Gergana MIHAYLOVA,38,16232000.0004
Magdalena ENEVA,27,16252999.9992
Ema BORISOVA,33,16431000.0012
Yoanna MADZHAROVA,34,16535000.0016
Maria STEFANOVA,39,16724000.0016
Viktoria DANOVA,28,16724000.0016
?Milia HRISTOVA,41,17178000.0012
Hristomira TODOROVA,45,17443000.0008
Denitsa TODOROVA,43,17600000.0004
Victoria SENDOVA,41,17777999.9988
Daniela VASILEVA,43,17853000.0012
Simona NEDELCHEVA,24,18470000.0016
Milena KANCHEVA,44,18533999.9988
Lilyana BANOVSKA,47,18555000.0012
Victoria NEDELCHEVA,52,19029999.9996
Angelina BONEVA,26,19041999.9984
Nevena KOSTOVA,30,19278000
Alexandra WEBER,44,19292000.0004
Desislava NEDYALKOVA,30,19370999.9988
Boyka ARSOVA,67,19487999.9988
